ping,download,upload,date,time
12.71,201.34,22.27,2020-07-04,14:19:08
14.29,83.66,21.81,2020-07-04,14:48:29
14.03,265.05,30.5,2020-07-04,15:04:18
11.48,146.27,23.02,2020-07-04,15:07:30
13.72,111.09,30.61,2020-07-04,15:12:02
15.27,224.33,29.45,2020-07-05,12:33:47
13.27,239.38,32.33,2020-07-05,18:11:46
14.53,61.13,30.83,2020-07-05,18:12:00
13.26,96.61,20.97,2020-07-05,18:13:01
15.83,54.04,31.02,2020-07-05,21:00:01
26.62,62.43,9.66,2020-07-05,22:00:01
14.89,239.74,29.81,2020-07-06,00:00:07
14.96,78.78,33.13,2020-07-06,08:00:01
13.08,203.47,27.11,2020-07-06,09:00:01
14.09,201.4,28.88,2020-07-06,09:16:49
16.33,86.34,7.54,2020-07-06,09:16:51
11.4,76.37,30.48,2020-07-06,09:16:53
13.78,244.42,28.75,2020-07-06,09:22:13
14.59,97.02,30.34,2020-07-06,09:22:43
14.36,174.19,32.8,2020-07-06,09:23:40
13.48,210.91,21.34,2020-07-06,09:23:51
11.7,111.44,28.98,2020-07-06,09:24:15
12.8,160.52,31.42,2020-07-06,09:24:47
15.51,54.39,9.75,2020-07-06,09:25:09
13.34,241.91,20.98,2020-07-06,09:26:47
15.28,143.19,31.26,2020-07-06,10:00:01
13.02,81.28,18.38,2020-07-06,11:00:01
12.0,153.75,25.93,2020-07-06,13:00:02
13.13,189.0,28.2,2020-07-06,14:00:01
16.08,129.55,9.35,2020-07-06,15:00:01
15.85,156.68,15.52,2020-07-06,16:00:01
14.46,91.63,12.59,2020-07-06,17:00:01
13.15,49.35,26.51,2020-07-06,18:00:01
13.42,85.9,30.08,2020-07-06,19:00:01
18.09,97.77,28.31,2020-07-06,20:00:01
13.11,198.2,29.72,2020-07-06,21:00:01
16.09,91.5,27.93,2020-07-06,22:00:01
13.31,99.06,17.75,2020-07-06,23:00:01
13.29,58.39,31.27,2020-07-07,00:00:01
13.85,63.85,26.54,2020-07-07,01:00:01
13.63,123.99,7.01,2020-07-07,02:00:01
11.68,175.43,26.85,2020-07-07,03:00:01
12.82,153.9,7.94,2020-07-07,04:00:01
12.17,59.09,7.84,2020-07-07,05:00:01
12.44,147.77,33.0,2020-07-07,06:00:01
12.78,211.9,20.73,2020-07-07,07:00:01
13.38,116.9,7.64,2020-07-07,08:00:01
15.93,58.28,27.61,2020-07-07,09:00:01
19.6,20.16,22.91,2020-07-07,10:00:01
13.66,84.46,17.66,2020-07-07,11:00:01
14.23,231.03,26.13,2020-07-07,12:00:01
12.97,132.41,23.81,2020-07-07,13:00:01
13.9,156.5,12.88,2020-07-07,14:00:01
12.88,123.75,31.16,2020-07-07,15:00:01
13.75,93.76,30.59,2020-07-07,16:00:01
18.35,113.38,7.07,2020-07-07,17:00:02
14.68,157.78,26.25,2020-07-07,18:00:01
14.05,125.47,19.92,2020-07-08,04:00:02
14.55,101.05,32.93,2020-07-08,05:00:02
12.22,162.67,32.97,2020-07-08,06:00:02
12.1,108.41,11.48,2020-07-08,10:00:02
14.36,228.11,18.68,2020-07-08,12:00:02
15.73,164.48,33.35,2020-07-08,15:00:45
14.47,192.47,32.22,2020-07-09,06:00:06
13.67,106.35,27.31,2020-07-09,07:00:04
13.25,229.38,30.4,2020-07-09,08:00:01
13.64,182.26,32.12,2020-07-09,09:00:01
11.99,121.16,33.2,2020-07-09,10:00:00
14.7,150.89,29.33,2020-07-09,11:00:01
13.58,148.47,30.38,2020-07-09,12:00:02
14.59,79.71,9.83,2020-07-09,13:00:02
13.52,88.01,28.74,2020-07-09,14:00:03
15.84,154.17,27.57,2020-07-09,17:00:07
14.82,103.67,31.28,2020-07-10,09:00:03
13.7,9.09,14.31,2020-07-11,08:00:03
18.1,79.35,29.98,2020-07-11,13:05:41
14.39,67.0,5.75,2020-07-11,15:00:02
13.29,140.22,7.46,2020-07-11,16:00:01
14.8,121.8,2.51,2020-07-11,17:00:02
15.93,229.2,14.44,2020-07-12,10:01:27
14.83,44.58,5.22,2020-07-12,11:00:03
17.99,131.88,15.87,2020-07-12,13:02:24
15.59,144.51,12.42,2020-07-12,14:00:01
14.96,50.89,3.2,2020-07-12,15:00:02
16.59,67.05,6.52,2020-07-12,16:00:02
